gene	cortex	cerebellum
Ptbp2	3.98244736522684	8.47990440488116
Hnrnpc	3.9868791071127	7.53285272498401
Strap	3.98853224881868	3.90196875881839
Kif5b	3.98918209914176	3.90687376099522
Kpna4	3.99313385656499	4.03891407233907
Eif5	4.00839208989524	4.31037338721778
Akt1	4.02761877488133	4.50831260093059
Dst	4.03412474708165	4.11853157026821
Nudcd3	4.03980536545955	3.06763481041093
Psap	4.03980846192124	3.64894949438667
Ubqln2	4.05161299275231	3.53674130823395
Fau	4.05368836379859	6.51134109528588
Mapk10	4.06929837305944	4.08265945719118
Shroom2	4.07350636958264	NA
Myo6	4.07430724838313	3.87720644565479
Coro7	4.07562168754124	8.4201613023355
Hnrnpa0	4.07986308811891	7.55408443808621
Lpgat1	4.08350208157809	6.09833987456313
Spag9	4.08926608610549	3.34756594352858
Rrbp1	4.09340585902622	2.86271837141694
Acsbg1	4.10309814180948	4.16703018988513
Nedd4l	4.10663970259231	6.81052013715513
Txndc5	4.10741391911744	5.42001119484953
Snap25	4.11267344925691	3.11567894935935
Hsd17b4	4.11974614108587	4.05442184891421
Dock9	4.1202009843199	5.60142262900165
Ociad1	4.12096631620067	4.43758487425452
Dync1li2	4.13768459983548	4.57215391269926
Ipo7	4.13914879679349	4.47470710792189
Map7d1	4.14094343278392	4.12713466392843
Gabarapl2	4.14304492737996	3.25906773144823
Ccar2	4.14324978443608	5.79607931289866
Scp2	4.14708176213571	3.94321858009207
Hsp90ab1	4.15750334579038	4.56803385176959
Naa50	4.16086457127032	3.97803360560935
Phactr1	4.17318068710609	NA
Ppme1	4.17355363230603	4.49382028280439
Hexb	4.17751831053109	NA
Sugt1	4.17756991205662	3.90976555871561
Inf2	4.19510109310684	NA
Epm2aip1	4.19530927907575	4.59228157528477
Clip1	4.19879339629687	4.23451997792362
Hpca	4.20495399372228	NA
Dlgap1	4.20607998509331	4.79213539970572
Fhl2	4.21200819383887	NA
Eif2s2	4.21814975430642	6.12502167884537
Tarsl2	4.21819911248763	7.70245936506772
Grb2	4.22434067495345	4.22525814551406
Tsnax	4.22708670993674	5.14196585807258
Ube2k	4.22753092951308	4.83716993194508
Iscu	4.22991781269561	3.90851710133113
Gars	4.23228073393144	4.9824104439687
Elmo2	4.23710756403481	3.7883258631342
Tjp2	4.2440006236297	5.58961813495974
Phyhip	4.24543843040167	4.27835611086634
Drg2	4.24550725090963	3.50380605352325
Ipo4	4.24553911539663	3.99959956647023
Dnajb4	4.24850479149272	4.29351957374044
Camkk1	4.25159587634705	NA
Txndc12	4.25241958566388	5.3674014350917
Trp53i11	4.2524577646278	5.21154812810928
Syne1	4.26097148551996	5.53701557874074
Cat	4.26485686095106	4.72134700365086
Sipa1l1	4.28104102575326	NA
Snrpa	4.28130530117343	9.85616334128617
Nrbp1	4.28830178956987	4.93086166824023
Txnl1	4.29951523627439	4.67770917052908
Ubr4	4.30072121192216	4.2289814457712
Mkl2	4.30192816924647	NA
Sorbs2	4.30934541507634	7.08182498417515
Abhd6	4.31042897724277	3.97337785286625
Map1s	4.31385866268922	3.35752160389253
Chrm1	4.31613839238212	NA
Rtn3	4.31823837330826	5.43507820040828
Elavl1	4.33267420343392	5.09558805775884
Copb2	4.34436412452633	3.71963895741565
Api5	4.34455605102785	6.41494723214239
Acaa1a	4.34814748528274	4.46764929526185
Osbpl1a	4.34970515555994	4.76198153677434
Rab11b	4.35066299305959	4.63823247004398
Aimp1	4.35371249336975	4.79331005697189
Haghl	4.35508320017112	NA
Rabgap1	4.35640162105215	3.62401256554477
Gad1	4.36048463972399	3.65590848435853
Rab9a	4.3611302648001	NA
Csnk1d	4.37518783603785	4.31955663750134
Ubqln1	4.3774541532008	4.19924435301766
Dnajb1	4.37768831819453	NA
Chmp4b	4.38622692065327	4.19214947334491
Pfdn1	4.40040798760052	4.82745243290161
Rpl22l1	4.40113044162524	4.24883141833828
Comt	4.40560632878312	6.56854170255785
Arsb	4.4104282793752	2.53450743392251
Acaca	4.41699935015341	5.15898544796971
Lamp2	4.42271459063357	2.34116795565257
Ppp1r12a	4.43735403267361	5.89163818335044
Adam10	4.43911261179657	10.6082712291983
Eif4e	4.44357088366546	5.11710003510365
Ncl	4.44445218152694	8.05773054778267
Eif3c	4.44856007313497	4.2843216884477
Ipo5	4.45396618753343	4.22578733106239
Hmox2	4.45403097094705	4.73342489528283
Clip2	4.45751088675703	4.71844394581728
Eif3a	4.45821445209214	4.36840844726051
Rap1gap2	4.46534327554128	4.65281669636979
Rufy3	4.46549231455039	4.84574231930105
Pcbp1	4.46866444820161	5.10604852143802
Abr	4.46942060011885	4.17558104809076
Mat2a	4.47001677870752	4.31305590719626
Grk2	4.47570806696931	4.8790408795431
Hnrnpdl	4.47735878054437	8.62851663257734
Kiaa1107	4.49350307512606	NA
Ecpas	4.49383322634026	4.62661332771877
Tmx1	4.49799195242497	5.00766692522915
Prkar1b	4.49848660710437	4.27936286362697
Skp1	4.50017641113403	4.40672844738072
Elob	4.50530063066379	4.90945705379246
Eif3k	4.51402412283496	5.78455154314769
Khsrp	4.51685570482379	7.02977264271667
Arhgef12	4.52082454672184	3.08614469736822
Ehbp1	4.52345801156953	6.92865609548133
Arhgap32	4.52365694862203	NA
Arf4	4.52637954028022	4.35957391288366
Snd1	4.53785511933606	4.17433608467937
Usp9x	4.55153576116457	4.25651312123064
Dnaja2	4.55174979681326	4.74338627086621
Ubl4a	4.55816890976604	4.45345198424925
Ube2o	4.55974991454162	4.83223320521388
Rnmt	4.56593428268242	6.73422328728404
Baiap2	4.5678462509592	3.44980202912307
Trim28	4.56892945837046	6.03219560506009
Anxa11	4.5867497169131	NA
Rdh11	4.58697890671345	6.13409374574139
Dhx15	4.59280567600596	6.73474187050298
Hook3	4.59602011982828	5.37966053466115
Rcn2	4.61499898300049	5.57655904004178
Sar1a	4.61736049096834	5.68768383597787
Psmd4	4.6183458484613	4.1943510517474
Sh3bgrl	4.61991112837742	4.95479487591723
Arl8b	4.62709209851486	4.79733981834333
Trim3	4.63352242427334	4.17416276988915
Abhd12	4.63837326153243	4.59382249855387
Acsl5	4.66547580635386	NA
Wdr47	4.66694520793146	5.1211202499331
Sf3a1	4.6787899618012	6.51884065430965
Rab9b	4.68540158687094	5.04812675195798
Stmn1	4.68669520109689	4.00180652431158
Tmem9b	4.6881046120902	NA
Cpsf6	4.68889922677185	7.39566083423094
Lman2	4.70058082730525	5.82767434405099
Cul1	4.70202975614791	4.33028606425126
Oat	4.70762490792516	5.01888145818335
Dynlrb1	4.71018900542654	4.99386830281482
Por	4.71257763963548	4.75534244442662
Arl3	4.71468923197397	5.297112898527
Adprh	4.7171177096955	4.72488127767425
Arhgap26	4.72068159552543	5.40636395192117
Rbm8a	4.72319856727849	8.44055373104992
Ilf3	4.72413637737111	5.69198841746955
Arl8a	4.72643900317737	4.91693655422276
Rab18	4.72663522349298	4.38335341247641
Slc4a8	4.72740197373352	5.36316051909438
Chm	4.73333318792765	4.3440524839724
Hsp90b1	4.73370736053575	4.78271300106633
Hdac2	4.73718521772573	5.50894409121344
Hp1bp3	4.73727717586499	11.3742553643382
Lingo1	4.74439682507885	NA
Camkk2	4.74495174479023	4.87490314104263
Sec61a1	4.74498794271146	3.63430497228174
Srpk2	4.75095107559801	4.10054213397316
Stk24	4.75220229650201	5.86484223454358
Pls3	4.75665771510589	4.83698936071931
Vsnl1	4.75733068216425	5.901767025444
Etf1	4.75789533438963	4.15710761203245
Fubp1	4.76891377485531	6.974390824968
Pdpk1	4.77053098422184	5.32500129091521
Rab7a	4.77956565123305	4.15819787452394
Ephx1	4.78641506393679	4.70630374595066
Hnrnpf	4.78941878171118	6.89691953112188
Mesd	4.79396134826233	5.23201616806423
Plxna2	4.80532181541506	NA
Apmap	4.80677040811099	7.74405045932006
Acss2	4.80804286649709	5.95659390111184
Nap1l1	4.815139700353	5.68066895011242
Kif1bp	4.82154042064247	NA
Aars	4.82169182810782	4.9313939557626
Nop56	4.82540016363629	7.20337783613942
Rtn1	4.82658677945185	6.5458046726666
Srrt	4.84083836168699	7.67693336020605
Nudt21	4.84574510681338	8.03407014392792
Atad1	4.84897426045639	5.74698568686898
Eif2s1	4.85566280826311	6.31579051329517
Ywhah	4.86199438106297	4.61325137362872
Ero1a	4.87276939922923	6.22537996685904
Myl6	4.88161417986529	5.56749399638984
Sacs	4.88573373976986	8.44317415367959
Eef1a1	4.89282631078036	6.50269124559724
Cab39	4.89286445226925	5.48857451204275
Pgm2l1	4.91037255961075	5.29775683683483
Rap1gap	4.91083358784051	4.44214187921313
Epdr1	4.91907725276043	5.82289162725271
Hars	4.91910192824136	5.85640943375396
Rabep1	4.92386121068014	5.56789468666493
Copb1	4.92602596154955	4.81905769137468
Eif3d	4.92755081176906	5.80963353549892
Chp1	4.93012738891592	4.42259748647878
Ruvbl1	4.93156025273021	6.65587463034943
Ccdc6	4.931689033749	6.07883838849748
Calu	4.93558566118426	6.14281215575216
Cyld	4.93863019619481	NA
Wfs1	4.94882921435343	NA
Clasp1	4.9510485712315	5.31485110060177
Pdia4	4.95383614554939	4.89628448869802
Rab15	4.96456293558094	NA
Vps16	4.9708206447998	6.25994017910909
Cnot1	4.97264354781382	4.75778209658258
Chmp2a	4.97797663754859	3.96522625619638
Ipo9	4.98238760157937	4.60915477299208
Bcas3	4.98810942305479	NA
Thumpd1	4.99088255006705	8.12857864064004
Rtn4	4.99388276799501	6.13588535130204
Trim32	4.99528472759142	4.20037673479636
Eif3h	4.99679825903036	4.88919755702728
Pmm1	4.99773109913496	5.84667869030455
Fus	5.01225902182801	7.7321707315298696
Psmd8	5.01433555957227	4.78676306048469
Scfd1	5.01777181706609	5.07628948614371
Rragc	5.01781931486907	6.22692186039525
Hid1	5.0223742311119	6.19857273037283
Prnp	5.0242190854395	NA
Psmd5	5.03127970740575	7.89525811154233
Btf3l4	5.03174758714122	6.06500330268809
Lnpk	5.03255383344129	8.34868334242585
Kpna3	5.03308473347905	4.93173288271737
